codepoint,strokes,radical_codepoint,radical_strokes
131606,8,20154,2
131628,8,20154,2
131625,8,20154,2
131623,8,20154,2
131624,8,20154,2
131622,8,20154,2
13392,8,20154,2
20398,9,20154,2
13399,9,20154,2
131629,9,20154,2
20399,9,20154,2
20400,9,20154,2
131630,9,20154,2
20401,9,20154,2
13400,9,20154,2
131631,9,20154,2
20402,9,20154,2
131632,9,20154,2
131633,9,20154,2
20403,9,20154,2
20404,9,20154,2
20405,9,20154,2
20406,9,20154,2
20407,9,20154,2
20408,9,20154,2
20409,9,20154,2
13401,9,20154,2
20410,9,20154,2
20411,9,20154,2
20412,9,20154,2
20413,9,20154,2
13402,9,20154,2
131634,9,20154,2
20414,9,20154,2
20415,9,20154,2
20416,9,20154,2
131635,9,20154,2
20417,9,20154,2
20418,9,20154,2
20419,9,20154,2
20420,9,20154,2
131636,9,20154,2
131637,9,20154,2
20421,9,20154,2
20422,9,20154,2
20423,9,20154,2
13403,9,20154,2
20424,9,20154,2
20425,9,20154,2
20426,9,20154,2
20427,9,20154,2
131638,9,20154,2
20428,9,20154,2
20429,9,20154,2
20430,9,20154,2
20431,9,20154,2
131639,9,20154,2
20432,9,20154,2
20433,9,20154,2
20434,9,20154,2
20435,9,20154,2
20436,9,20154,2
13404,9,20154,2
131640,9,20154,2
131641,9,20154,2
131642,9,20154,2
20437,9,20154,2
13405,9,20154,2
13406,9,20154,2
20438,9,20154,2
20439,9,20154,2
131643,9,20154,2
20440,9,20154,2
20441,9,20154,2
20442,9,20154,2
20443,9,20154,2
20444,9,20154,2
20445,9,20154,2
20446,9,20154,2
13407,9,20154,2
20447,9,20154,2
20448,9,20154,2
20449,9,20154,2
131644,9,20154,2
131645,9,20154,2
131646,9,20154,2
13410,9,20154,2
131672,9,20154,2
131670,9,20154,2
131682,9,20154,2
131681,9,20154,2
20462,10,20154,2
20463,10,20154,2
20464,10,20154,2
20465,10,20154,2
20466,10,20154,2
20467,10,20154,2
20468,10,20154,2
131683,10,20154,2
13411,10,20154,2
20469,10,20154,2
13413,10,20154,2
20470,10,20154,2
20471,10,20154,2
20472,10,20154,2
20473,10,20154,2
20474,10,20154,2
20475,10,20154,2
20476,10,20154,2
20477,10,20154,2
20478,10,20154,2
20479,10,20154,2
20480,10,20154,2
20481,10,20154,2
131684,10,20154,2
131685,10,20154,2
20482,10,20154,2
20483,10,20154,2
131686,10,20154,2
20484,10,20154,2
20485,10,20154,2
20486,10,20154,2
131687,10,20154,2
20487,10,20154,2
20488,10,20154,2
20489,10,20154,2
20490,10,20154,2
20491,10,20154,2
20492,10,20154,2
20493,10,20154,2
20494,10,20154,2
20495,10,20154,2
20496,10,20154,2
13414,10,20154,2
131689,10,20154,2
20497,10,20154,2
20498,10,20154,2
20499,10,20154,2
20500,10,20154,2
20501,10,20154,2
20502,10,20154,2
20503,10,20154,2
131690,10,20154,2
20504,10,20154,2
20505,10,20154,2
20506,10,20154,2
20507,10,20154,2
20508,10,20154,2
20509,10,20154,2
20510,10,20154,2
20511,10,20154,2
20512,10,20154,2
20513,10,20154,2
20514,10,20154,2
20515,10,20154,2
20516,10,20154,2
20517,10,20154,2
20518,10,20154,2
20519,10,20154,2
20520,10,20154,2
20521,10,20154,2
20522,10,20154,2
20523,10,20154,2
20524,10,20154,2
131691,10,20154,2
20525,10,20154,2
20526,10,20154,2
20527,10,20154,2
20528,10,20154,2
20529,10,20154,2
20530,10,20154,2
20531,10,20154,2
131692,10,20154,2
131693,10,20154,2
131694,10,20154,2
20532,10,20154,2
131749,10,20154,2
131724,10,20154,2
13415,10,20154,2
131727,10,20154,2
131730,10,20154,2
131746,10,20154,2
20533,10,20154,2
131747,10,20154,2
131699,10,20154,2
131750,10,20154,2
131748,10,20154,2
13412,11,20154,2
131751,11,20154,2
20544,11,20154,2
20545,11,20154,2
20546,11,20154,2
20547,11,20154,2
20548,11,20154,2
20549,11,20154,2
20550,11,20154,2
131752,11,20154,2
20551,11,20154,2
20552,11,20154,2
20553,11,20154,2
20554,11,20154,2
20555,11,20154,2
20556,11,20154,2
20557,11,20154,2
13422,11,20154,2
20558,11,20154,2
131753,11,20154,2
131754,11,20154,2
131755,11,20154,2
131756,11,20154,2
20559,11,20154,2
131757,11,20154,2
20560,11,20154,2
20561,11,20154,2
20562,11,20154,2
20563,11,20154,2
20564,11,20154,2
20565,11,20154,2
20566,11,20154,2
20567,11,20154,2
20568,11,20154,2
131758,11,20154,2
20569,11,20154,2
20570,11,20154,2
131759,11,20154,2
20571,11,20154,2
20572,11,20154,2
20573,11,20154,2
131760,11,20154,2
20574,11,20154,2
20575,11,20154,2
20576,11,20154,2
20577,11,20154,2
20578,11,20154,2
131761,11,20154,2
20579,11,20154,2
20580,11,20154,2
20581,11,20154,2
131762,11,20154,2
13423,11,20154,2
131763,11,20154,2
20582,11,20154,2
13424,11,20154,2
20583,11,20154,2
131764,11,20154,2
20584,11,20154,2
131765,11,20154,2
131766,11,20154,2
20585,11,20154,2
20586,11,20154,2
20587,11,20154,2
20588,11,20154,2
20589,11,20154,2
20590,11,20154,2
20591,11,20154,2
20592,11,20154,2
20593,11,20154,2
20594,11,20154,2
20595,11,20154,2
20596,11,20154,2
20597,11,20154,2
20598,11,20154,2
131767,11,20154,2
20599,11,20154,2
131768,11,20154,2
131769,11,20154,2
131770,11,20154,2
131820,11,20154,2
131804,11,20154,2
131818,11,20154,2
131806,11,20154,2
131794,11,20154,2
131799,11,20154,2
131809,11,20154,2
131819,11,20154,2
131815,11,20154,2
131816,11,20154,2
131796,11,20154,2
131817,11,20154,2
131823,12,20154,2
131824,12,20154,2
131822,12,20154,2
131821,12,20154,2
20608,12,20154,2
20609,12,20154,2
13427,12,20154,2
20610,12,20154,2
13428,12,20154,2
20611,12,20154,2
20612,12,20154,2
131825,12,20154,2
131826,12,20154,2
131827,12,20154,2
131828,12,20154,2
20613,12,20154,2
20614,12,20154,2
20615,12,20154,2
20616,12,20154,2
20617,12,20154,2
20618,12,20154,2
131829,12,20154,2
20619,12,20154,2
20620,12,20154,2
20621,12,20154,2
13429,12,20154,2
13430,12,20154,2
20622,12,20154,2
13431,12,20154,2
20623,12,20154,2
20624,12,20154,2
20625,12,20154,2
131830,12,20154,2
131831,12,20154,2
131832,12,20154,2
20626,12,20154,2
131833,12,20154,2
20627,12,20154,2
20628,12,20154,2
20629,12,20154,2
20630,12,20154,2
20631,12,20154,2
20632,12,20154,2
20633,12,20154,2
131834,12,20154,2
20634,12,20154,2
20635,12,20154,2
20636,12,20154,2
20637,12,20154,2
20638,12,20154,2
20639,12,20154,2
131835,12,20154,2
20640,12,20154,2
131836,12,20154,2
131837,12,20154,2
131838,12,20154,2
131839,12,20154,2
131840,12,20154,2
131872,12,20154,2
131863,12,20154,2
131881,12,20154,2
20642,12,20154,2
13432,12,20154,2
131841,12,20154,2
131866,12,20154,2
131861,12,20154,2
131848,12,20154,2
131864,12,20154,2
131868,12,20154,2
131873,12,20154,2
20641,12,20154,2
20650,13,20154,2
20651,13,20154,2
131883,13,20154,2
20652,13,20154,2
131884,13,20154,2
20653,13,20154,2
20654,13,20154,2
13435,13,20154,2
131885,13,20154,2
20655,13,20154,2
20656,13,20154,2
20657,13,20154,2
131886,13,20154,2
20658,13,20154,2
131887,13,20154,2
13436,13,20154,2
131888,13,20154,2
20659,13,20154,2
20660,13,20154,2
131889,13,20154,2
20661,13,20154,2
13437,13,20154,2
20662,13,20154,2
13438,13,20154,2
131890,13,20154,2
131891,13,20154,2
131892,13,20154,2
20663,13,20154,2
131893,13,20154,2
20664,13,20154,2
20665,13,20154,2
